rating_diff,net_goals_diff,p(Home),p(Draw),p(Away),Result
6.799999999999997,1.3599999999999999,0.457,0.258,0.285,0
5.3999999999999915,1.2,0.457,0.258,0.285,1
-6.300000000000011,-0.9899999999999998,0.457,0.258,0.285,-1
4.099999999999994,0.41999999999999993,0.457,0.258,0.285,1
6.599999999999994,-1.4,0.457,0.258,0.285,1
0.20000000000000284,0.78,0.457,0.258,0.285,-1
-5.300000000000011,-1.1600000000000001,0.457,0.258,0.285,1
7.6000000000000085,-0.20999999999999996,0.457,0.258,0.285,1
-7.700000000000003,-0.41000000000000014,0.457,0.258,0.285,1
7.200000000000003,1.6500000000000001,0.457,0.258,0.285,1
2.9000000000000057,1.1999999999999997,0.457,0.258,0.285,1
4.799999999999997,0.4299999999999997,0.457,0.258,0.285,0
-4.5,-1.74,0.457,0.258,0.285,1
-2.4000000000000057,-0.74,0.457,0.258,0.285,-1
-16.0,-1.6300000000000001,0.457,0.258,0.285,-1
-7.099999999999994,0.08999999999999986,0.457,0.258,0.285,1
5.5,1.31,0.457,0.258,0.285,1
1.2999999999999972,0.09000000000000008,0.457,0.258,0.285,1
6.200000000000003,0.0,0.457,0.258,0.285,1
3.5,0.3899999999999999,0.457,0.258,0.285,1
14.600000000000009,1.6400000000000001,0.457,0.258,0.285,1
-4.800000000000011,-0.23999999999999977,0.457,0.258,0.285,1
1.0,0.51,0.457,0.258,0.285,1
-2.299999999999997,-0.55,0.457,0.258,0.285,0
1.3999999999999915,0.04999999999999982,0.457,0.258,0.285,1
-0.7999999999999972,-1.45,0.457,0.258,0.285,1
-2.700000000000003,0.1399999999999999,0.457,0.258,0.285,0
3.0,-0.04000000000000026,0.457,0.258,0.285,-1
-8.700000000000003,-1.0899999999999999,0.457,0.258,0.285,1
11.099999999999994,1.3299999999999998,0.457,0.258,0.285,1
-6.900000000000006,-0.16000000000000003,0.457,0.258,0.285,1
11.099999999999994,1.01,0.457,0.258,0.285,1
-4.0,0.3200000000000003,0.457,0.258,0.285,-1
-0.4000000000000057,-0.48,0.457,0.258,0.285,-1
4.299999999999997,0.3400000000000001,0.457,0.258,0.285,-1
-2.9000000000000057,0.5799999999999998,0.457,0.258,0.285,-1
-10.200000000000003,-1.49,0.457,0.258,0.285,-1
-1.7000000000000028,0.13000000000000012,0.457,0.258,0.285,1
-6.799999999999997,-0.18000000000000016,0.457,0.258,0.285,-1
5.1000000000000085,-0.3699999999999999,0.457,0.258,0.285,0
12.799999999999997,1.25,0.457,0.258,0.285,1
-0.29999999999999716,1.2499999999999998,0.457,0.258,0.285,-1
-2.0999999999999943,0.4600000000000002,0.457,0.258,0.285,0
5.700000000000003,1.03,0.457,0.258,0.285,0
4.300000000000011,0.2599999999999998,0.457,0.258,0.285,0
2.200000000000003,-0.16000000000000014,0.457,0.258,0.285,-1
-1.7999999999999972,-0.6400000000000001,0.457,0.258,0.285,1
-6.6000000000000085,-1.1099999999999999,0.457,0.258,0.285,-1
-9.200000000000003,-1.35,0.457,0.258,0.285,-1
-7.3999999999999915,-1.6300000000000001,0.457,0.258,0.285,0
4.299999999999997,0.8799999999999999,0.457,0.258,0.285,0
-4.799999999999997,-0.1399999999999999,0.457,0.258,0.285,-1
2.5,0.9100000000000001,0.457,0.258,0.285,1
-7.0,-1.4099999999999997,0.457,0.258,0.285,0
-4.599999999999994,-0.29000000000000004,0.457,0.258,0.285,-1
2.5,0.15000000000000013,0.457,0.258,0.285,1
6.299999999999997,-0.020000000000000018,0.457,0.258,0.285,0
-2.3999999999999915,0.1100000000000001,0.457,0.258,0.285,1
-5.200000000000003,-0.8999999999999999,0.457,0.258,0.285,1
6.8999999999999915,1.35,0.457,0.258,0.285,0
3.0999999999999943,0.8499999999999999,0.457,0.258,0.285,0
-2.299999999999997,0.1200000000000001,0.457,0.258,0.285,-1
0.3999999999999915,0.13000000000000012,0.457,0.258,0.285,-1
1.3999999999999915,-0.17999999999999994,0.457,0.258,0.285,0
-4.099999999999994,-0.3899999999999999,0.457,0.258,0.285,0
-6.1000000000000085,-0.009999999999999898,0.457,0.258,0.285,-1
-1.9000000000000057,-0.16000000000000014,0.457,0.258,0.285,1
-0.10000000000000853,0.3900000000000001,0.457,0.258,0.285,0
1.5,-0.2599999999999998,0.457,0.258,0.285,1
4.6000000000000085,0.15000000000000013,0.457,0.258,0.285,-1
6.700000000000003,1.3399999999999999,0.457,0.258,0.285,1
4.799999999999997,1.4599999999999997,0.457,0.258,0.285,1
0.7000000000000028,-0.6100000000000001,0.457,0.258,0.285,-1
-0.8999999999999915,0.69,0.457,0.258,0.285,-1
5.800000000000011,-0.1100000000000001,0.457,0.258,0.285,0
-5.900000000000006,-1.15,0.457,0.258,0.285,-1
0.29999999999999716,-1.22,0.457,0.258,0.285,0
-8.0,-1.45,0.457,0.258,0.285,-1
-6.3999999999999915,0.30000000000000004,0.457,0.258,0.285,0
-2.700000000000003,0.10999999999999988,0.457,0.258,0.285,1
11.599999999999994,1.29,0.457,0.258,0.285,0
1.3999999999999915,0.02000000000000024,0.457,0.258,0.285,1
-5.099999999999994,-0.5899999999999997,0.457,0.258,0.285,0
1.5,0.050000000000000044,0.457,0.258,0.285,1
-4.299999999999997,-1.5899999999999999,0.457,0.258,0.285,0
0.7999999999999972,0.71,0.457,0.258,0.285,-1
0.7000000000000028,-0.30000000000000004,0.457,0.258,0.285,-1
-8.0,-0.020000000000000018,0.457,0.258,0.285,0
-2.1999999999999886,-0.11999999999999988,0.457,0.258,0.285,1
9.699999999999989,1.19,0.457,0.258,0.285,0
8.599999999999994,1.6199999999999997,0.457,0.258,0.285,1
-2.799999999999997,0.18999999999999995,0.457,0.258,0.285,0
-2.6999999999999886,0.20999999999999996,0.457,0.258,0.285,-1
-7.699999999999989,-0.71,0.457,0.258,0.285,0
-1.5,-0.7700000000000002,0.457,0.258,0.285,1
8.800000000000011,-0.25,0.457,0.258,0.285,1
3.3000000000000114,0.52,0.457,0.258,0.285,1
-1.5999999999999943,0.20000000000000018,0.457,0.258,0.285,1
-2.6000000000000085,-1.35,0.457,0.258,0.285,1
-5.299999999999997,-0.30000000000000027,0.457,0.258,0.285,-1
6.900000000000006,1.1099999999999999,0.457,0.258,0.285,1
-3.1000000000000085,0.16000000000000014,0.457,0.258,0.285,0
2.799999999999997,0.6400000000000001,0.457,0.258,0.285,0
-2.1000000000000085,-1.2499999999999998,0.457,0.258,0.285,0
-2.700000000000003,-1.03,0.457,0.258,0.285,-1
7.400000000000006,1.6300000000000001,0.457,0.258,0.285,1
0.29999999999999716,-0.4600000000000002,0.457,0.258,0.285,-1
-15.700000000000003,-1.25,0.457,0.258,0.285,-1
-3.299999999999997,-0.2599999999999998,0.457,0.258,0.285,1
11.0,1.35,0.457,0.258,0.285,1
8.299999999999997,1.4,0.457,0.258,0.285,1
6.5,0.75,0.457,0.258,0.285,-1
0.7999999999999972,0.09999999999999987,0.457,0.258,0.285,1
-2.4000000000000057,1.19,0.457,0.258,0.285,1
10.0,0.14000000000000012,0.457,0.258,0.285,0
-4.200000000000003,-1.0699999999999998,0.457,0.258,0.285,1
-6.099999999999994,-0.6400000000000001,0.457,0.258,0.285,-1
