PC1,PC2,PC3,PC4,p(Home),p(Draw),p(Away),Result
-2.2795995960085627,-1.479169598856433,3.7167140834119903,-0.9178703476816873,0.457,0.258,0.285,0
-2.980709027255771,-1.2625896634572116,2.5176018320502767,-0.8286914070594532,0.457,0.258,0.285,1
-2.58268820834454,1.217232929299042,3.0934865698348593,0.9880765111697264,0.457,0.258,0.285,-1
-3.8632289134208744,-0.4986017097781447,1.6084415507679708,-0.4332662079554295,0.457,0.258,0.285,1
-2.7749236413295555,0.8864356170834896,2.6295198494137684,0.25915567407411516,0.457,0.258,0.285,1
-3.183070789521309,-0.29282531274406837,2.4598713634121943,0.14029271391258233,0.457,0.258,0.285,-1
-3.2139271032198464,1.040793762567134,2.3539800161742845,0.585064016525705,0.457,0.258,0.285,1
-3.809811068116507,-0.15776527933458767,1.6117889922864315,-0.4038616821887912,0.457,0.258,0.285,1
-3.824956057440595,0.4475347435300897,1.613359179182234,0.24865184255104142,0.457,0.258,0.285,1
-2.4862710522554474,-1.572224261355299,3.530487953975476,-0.8652626438346624,0.457,0.258,0.285,1
1.7420359722930778,-2.21606992009679,0.45848317767251895,0.08595185481706227,0.457,0.258,0.285,1
1.0234989966318697,-2.042985789814836,0.7802461908548791,1.1323803484401764,0.457,0.258,0.285,0
0.21794779816655147,1.9126000555370652,0.7963943515291263,0.36649316141597404,0.457,0.258,0.285,1
-1.0930422708280851,0.5116845585735216,1.0306126703069989,0.31982919028080437,0.457,0.258,0.285,-1
3.0056645452489827,1.475574525915432,-0.8894222828640934,1.714604023949486,0.457,0.258,0.285,-1
-0.974822689088623,0.998870976042137,-0.3919499007900695,-0.22942607909294624,0.457,0.258,0.285,1
2.1437689223335217,-2.5556152056047705,-0.7921411770555485,0.11877705423138595,0.457,0.258,0.285,1
0.6990619965408752,-0.5016695104044809,-0.7043368015839958,0.6700451914731624,0.457,0.258,0.285,1
-1.775026320630314,0.06915234233214815,0.07762973445353966,-1.375971405682493,0.457,0.258,0.285,1
-1.9623721528777986,-0.45375508088806044,0.43597899447790117,-0.7801206453079226,0.457,0.258,0.285,1
2.8942319848266185,-2.233350046422746,-0.7947932701052688,-1.2562914256332038,0.457,0.258,0.285,1
2.2686375040628524,2.395793623380477,0.6476952931705279,-1.846293931380286,0.457,0.258,0.285,1
-0.4202862982600118,-0.33436124642795856,0.620397765861949,0.11556353083135726,0.457,0.258,0.285,1
-0.9582972499933736,-0.05015138575713542,-0.1291231094867993,0.6168994360618097,0.457,0.258,0.285,0
0.06669082317983183,0.8231106681972716,-0.5004940338855881,-1.3614813325799586,0.457,0.258,0.285,1
-0.339528358413833,1.679107308563781,1.252897071586499,0.6881048071524859,0.457,0.258,0.285,1
-1.1360136256213942,0.6225773662990629,-0.3805587128382952,0.8697912343405144,0.457,0.258,0.285,0
-1.3561980594752912,-1.123083050263466,-0.41425731782991837,0.3964496808427902,0.457,0.258,0.285,-1
0.7952383172658682,2.0059799458412395,0.022573072293989818,0.27246986850565447,0.457,0.258,0.285,1
1.7194012337320728,-2.950161185010416,0.2753728688793922,0.2109798245041468,0.457,0.258,0.285,1
3.6530506014681565,0.9299682540916009,0.8375610295152042,-0.16371765498909333,0.457,0.258,0.285,1
0.9185050289986627,-3.1496223815216533,-0.43460933315020917,0.22774710035406343,0.457,0.258,0.285,1
-0.9085442148668386,-0.009627159338228861,0.24228715830408415,0.011301576114607971,0.457,0.258,0.285,-1
-0.3024819151992054,1.0255588929714952,0.6763796571728781,-0.6794300517845946,0.457,0.258,0.285,-1
-0.14938268176449082,-0.42119189911321575,-0.9618888825022993,0.20492887396411494,0.457,0.258,0.285,-1
0.5237998785613002,-0.5729175680699566,1.7383457724033275,-0.38586929399585057,0.457,0.258,0.285,-1
1.857918083618514,2.783355310640917,0.8330248824386496,-0.6772883104114209,0.457,0.258,0.285,-1
-0.4932648473720318,0.20103755286546504,0.25966387195780777,-0.36932439850707455,0.457,0.258,0.285,1
-0.17620447178148227,-0.3238875755662386,-0.9681459426706103,0.9999829137871414,0.457,0.258,0.285,-1
-1.2958420308413774,0.8927858697014278,-0.9087515613017834,-0.6736739857212688,0.457,0.258,0.285,0
1.6741218246558593,-2.2550253104702964,-0.26791089720713085,-0.8683109930061793,0.457,0.258,0.285,1
1.602038888557757,-1.5354255047421763,-0.024036547924283252,-0.010214099912401683,0.457,0.258,0.285,-1
-1.1725237484755502,0.31789299417892963,0.6851625344883036,-0.5619108865308969,0.457,0.258,0.285,0
0.5390944718094639,-1.0443950933908805,-0.7023763069144704,-0.04406786419407681,0.457,0.258,0.285,0
-1.203274700612091,-0.6334298585431788,-0.0041182236548899,0.0342666183075596,0.457,0.258,0.285,0
-1.3105734081331628,0.03929304834036727,0.7722377048638901,-0.12885262638753767,0.457,0.258,0.285,-1
0.6219231913500877,0.5277712647186694,0.1238259242773045,0.1564828757837589,0.457,0.258,0.285,1
1.9658702762145541,2.2003857602300556,-0.06351245749514965,-0.415375355421867,0.457,0.258,0.285,-1
1.2677729853415363,3.4899526158683187,0.561980476556554,-0.5694614071699374,0.457,0.258,0.285,-1
0.17088537055579403,1.0248333594116523,0.6380362807268988,1.576360315622432,0.457,0.258,0.285,0
2.3401411160266803,-1.8405825006425285,-0.5023289338710987,0.31043729650020374,0.457,0.258,0.285,0
-1.0378645322660223,-0.2583602605385059,0.5426499674390491,0.5998724516834816,0.457,0.258,0.285,-1
-0.35417022137642307,-1.2348728499286656,0.8566012441594468,0.7672049258631057,0.457,0.258,0.285,1
2.533665500780199,1.6740417168496469,0.29367801348684985,0.8501063755802579,0.457,0.258,0.285,0
-0.47990039442208465,-0.14776270011390666,-0.5724837657207088,0.7058425950216959,0.457,0.258,0.285,-1
1.4572926683986163,0.39359353585024287,1.7985876480151566,-0.7179186663284647,0.457,0.258,0.285,1
-1.0374176956216978,0.02642646781989307,-0.5230380444950029,-0.05715102983727587,0.457,0.258,0.285,0
-1.783461218346636,-0.6201965975112835,-0.2826254103840363,0.8715777249413665,0.457,0.258,0.285,1
-0.04341449324146627,1.7361345949628326,-0.6848213043291989,-0.21564102226697607,0.457,0.258,0.285,1
2.1683463727602446,-2.6973714671482134,0.5166657613005843,0.6064499034312963,0.457,0.258,0.285,0
1.4598934804820847,-2.202719793128118,0.35897741411507195,0.4746103243734061,0.457,0.258,0.285,0
-0.6636985190104507,0.5247229845335271,0.06976300994021964,-0.7023509392887282,0.457,0.258,0.285,-1
1.2020896467883142,-0.16803736171991665,-0.06670699293690242,-0.365431619457037,0.457,0.258,0.285,-1
0.53350931848186,0.08468730487424737,-0.5246382300442904,-0.040784952394179785,0.457,0.258,0.285,0
-0.2823188934474595,0.33050460515465924,-0.3389363040666781,0.6006698328682636,0.457,0.258,0.285,0
2.4603155999875943,1.1635563143912568,1.9818679306322118,-0.5583849460737282,0.457,0.258,0.285,-1
-1.3685149856449381,-0.3726012109765383,0.8154454037219021,0.8985614226404312,0.457,0.258,0.285,1
-0.8174106917563531,-0.5416479817071723,-0.9239380337177632,0.8686610652944664,0.457,0.258,0.285,0
-1.751065302821503,-0.6756537482866,-0.3152501576941264,0.9340364121879339,0.457,0.258,0.285,1
3.062272524903155,-1.7699022645534785,1.1192996702711302,1.021344656371373,0.457,0.258,0.285,-1
1.1490012920126274,-2.8559953506612,1.1291521410649514,0.3041980739376808,0.457,0.258,0.285,1
0.9019343772758672,-1.3468709395865386,-0.21374130105432634,-1.1778710231100917,0.457,0.258,0.285,1
0.2771217064511066,0.6487272513037315,0.34277722734856386,0.1404339237984526,0.457,0.258,0.285,-1
0.540216085626338,-0.663582551060492,-0.3737609643461459,0.5431202719225293,0.457,0.258,0.285,-1
-0.5367615163299994,-0.17239129465944483,-0.2421059041419747,-0.954100140217875,0.457,0.258,0.285,0
0.6124602823737307,2.4249981968908756,1.2755496518584832,-0.806516708357028,0.457,0.258,0.285,-1
0.41862855550437417,0.42456917572468356,0.8616080915354222,0.9517439765686428,0.457,0.258,0.285,0
2.5471701026940017,1.7524328529873223,-0.054433480266725204,0.8540101183073775,0.457,0.258,0.285,-1
