ppg_season_diff,net_goals_diff,home_pts_last_5,away_pts_last_5,pts_last_5_diff,best_player_diff,p(Home),p(Draw),p(Away),Result
-0.3600000000000001,0.3900000000000001,10,2,8,-2.5,0.457,0.258,0.285,0
0.34999999999999987,-0.2599999999999998,8,1,7,2.0,0.457,0.258,0.285,1
0.72,0.15000000000000013,13,4,9,5.0,0.457,0.258,0.285,-1
1.0699999999999998,1.3399999999999999,10,3,7,9.5,0.457,0.258,0.285,1
0.45999999999999996,1.4599999999999997,6,11,-5,6.0,0.457,0.258,0.285,1
0.19999999999999996,-0.6100000000000001,6,9,-3,-2.0,0.457,0.258,0.285,-1
-0.19999999999999996,0.69,10,5,5,-2.5,0.457,0.258,0.285,-1
-0.19999999999999996,-0.1100000000000001,6,8,-2,8.0,0.457,0.258,0.285,0
-1.4,-1.15,1,8,-7,-4.5,0.457,0.258,0.285,-1
0.14000000000000012,-1.22,8,4,4,-0.5,0.457,0.258,0.285,0
-0.8700000000000001,-1.45,12,10,2,-8.0,0.457,0.258,0.285,-1
-0.74,0.30000000000000004,1,8,-7,-6.0,0.457,0.258,0.285,0
0.26,0.10999999999999988,3,6,-3,-2.0,0.457,0.258,0.285,1
0.69,1.29,11,6,5,9.0,0.457,0.258,0.285,0
0.18999999999999995,0.02000000000000024,3,1,2,4.5,0.457,0.258,0.285,1
-1.0,-0.5899999999999997,9,10,-1,-7.5,0.457,0.258,0.285,0
0.5,0.050000000000000044,8,9,-1,0.5,0.457,0.258,0.285,1
-0.6200000000000001,-1.5899999999999999,5,9,-4,-4.0,0.457,0.258,0.285,0
-0.2599999999999998,0.71,5,7,-2,5.5,0.457,0.258,0.285,-1
0.43999999999999995,-0.30000000000000004,9,4,5,-1.5,0.457,0.258,0.285,-1
-0.06000000000000005,-0.020000000000000018,6,9,-3,-6.0,0.457,0.258,0.285,0
0.3799999999999999,-0.11999999999999988,8,0,8,-7.0,0.457,0.258,0.285,1
1.13,1.19,10,5,5,8.5,0.457,0.258,0.285,0
0.77,1.6199999999999997,11,10,1,14.5,0.457,0.258,0.285,1
-0.4800000000000002,0.18999999999999995,7,9,-2,-3.0,0.457,0.258,0.285,0
-0.7,0.20999999999999996,6,11,-5,-1.0,0.457,0.258,0.285,-1
-0.7100000000000002,-0.71,7,8,-1,-10.0,0.457,0.258,0.285,0
0.0,-0.7700000000000002,7,7,0,1.0,0.457,0.258,0.285,1
-0.41999999999999993,-0.25,0,6,-6,7.5,0.457,0.258,0.285,1
0.06000000000000005,0.52,7,3,4,1.5,0.457,0.258,0.285,1
-0.17000000000000015,0.20000000000000018,6,6,0,-1.0,0.457,0.258,0.285,1
-0.3500000000000001,-1.35,1,5,-4,-6.0,0.457,0.258,0.285,1
0.53,-0.30000000000000027,7,6,1,-2.5,0.457,0.258,0.285,-1
0.8899999999999999,1.1099999999999999,7,9,-2,6.0,0.457,0.258,0.285,1
0.2799999999999999,0.16000000000000014,6,3,3,-2.5,0.457,0.258,0.285,0
-0.27,0.6400000000000001,7,7,0,1.0,0.457,0.258,0.285,0
0.16999999999999993,-1.2499999999999998,11,8,3,-2.5,0.457,0.258,0.285,0
-0.32999999999999985,-1.03,2,7,-5,1.5,0.457,0.258,0.285,-1
-0.5,1.6300000000000001,4,6,-2,6.5,0.457,0.258,0.285,1
0.21999999999999997,-0.4600000000000002,5,5,0,1.5,0.457,0.258,0.285,-1
-0.9999999999999998,-1.25,6,11,-5,-14.5,0.457,0.258,0.285,-1
0.0,-0.2599999999999998,9,9,0,-8.0,0.457,0.258,0.285,1
1.2799999999999998,1.35,6,4,2,11.5,0.457,0.258,0.285,1
0.0,1.4,3,3,0,7.0,0.457,0.258,0.285,1
0.0,0.75,0,0,0,2.5,0.457,0.258,0.285,-1
-2.0,0.09999999999999987,1,3,-2,0.5,0.457,0.258,0.285,1
-3.0,1.19,0,3,-3,1.5,0.457,0.258,0.285,1
0.0,0.14000000000000012,3,3,0,7.5,0.457,0.258,0.285,0
-3.0,-1.0699999999999998,0,3,-3,-5.5,0.457,0.258,0.285,1
0.0,-0.6400000000000001,0,0,0,-4.0,0.457,0.258,0.285,-1
-1.0,-1.6600000000000001,0,1,-1,-8.0,0.457,0.258,0.285,-1
-3.0,0.15999999999999992,0,3,-3,-6.0,0.457,0.258,0.285,1
-3.0,-1.6099999999999999,0,3,-3,-13.5,0.457,0.258,0.285,-1
1.11,1.75,13,2,11,10.0,0.457,0.258,0.285,1
0.47,1.5,9,4,5,5.0,0.457,0.258,0.285,1
0.10999999999999988,0.050000000000000044,5,3,2,6.0,0.457,0.258,0.285,1
0.3700000000000001,0.6199999999999999,10,7,3,-2.0,0.457,0.258,0.285,1
-1.05,-1.01,8,9,-1,-3.5,0.457,0.258,0.285,-1
-0.22000000000000008,-1.49,4,4,0,-1.5,0.457,0.258,0.285,0
-0.8400000000000001,-1.22,7,8,-1,-6.0,0.457,0.258,0.285,0
-0.1100000000000001,0.15999999999999992,6,9,-3,6.0,0.457,0.258,0.285,-1
-0.26,-0.7700000000000002,4,5,-1,-9.0,0.457,0.258,0.285,1
-0.42000000000000015,-0.2300000000000002,5,11,-6,-8.0,0.457,0.258,0.285,-1
0.10000000000000009,0.009999999999999898,13,9,4,1.0,0.457,0.258,0.285,1
0.6000000000000001,1.2999999999999998,9,3,6,3.0,0.457,0.258,0.285,1
0.9999999999999999,-0.04999999999999982,13,7,6,8.5,0.457,0.258,0.285,1
0.25,0.9200000000000002,10,4,6,3.5,0.457,0.258,0.285,1
-0.10000000000000009,-0.41000000000000014,1,7,-6,-0.5,0.457,0.258,0.285,0
-0.1499999999999999,-0.16000000000000014,7,7,0,3.0,0.457,0.258,0.285,0
0.4,0.27,7,5,2,-1.0,0.457,0.258,0.285,-1
0.04999999999999982,-1.6500000000000001,1,5,-4,-6.0,0.457,0.258,0.285,1
-1.25,-0.8999999999999999,2,11,-9,-11.5,0.457,0.258,0.285,0
0.3999999999999999,-1.03,9,5,4,-7.0,0.457,0.258,0.285,1
0.52,0.3699999999999999,9,13,-4,8.5,0.457,0.258,0.285,0
-0.8499999999999999,0.07000000000000006,8,13,-5,-1.0,0.457,0.258,0.285,-1
-0.29000000000000004,1.0700000000000003,2,3,-1,4.0,0.457,0.258,0.285,0
0.0,0.030000000000000027,8,6,2,-1.0,0.457,0.258,0.285,1
-0.42999999999999994,1.6099999999999999,4,12,-8,9.0,0.457,0.258,0.285,1
-0.10000000000000009,-0.1399999999999999,8,7,1,-0.5,0.457,0.258,0.285,1
-1.1400000000000001,-1.46,3,13,-10,-9.0,0.457,0.258,0.285,-1
-0.14,0.3899999999999999,6,2,4,-7.0,0.457,0.258,0.285,1
-0.52,-1.48,1,9,-8,-9.0,0.457,0.258,0.285,-1
1.0,1.24,6,2,4,12.0,0.457,0.258,0.285,1
-0.1299999999999999,-0.10999999999999988,5,5,0,-1.0,0.457,0.258,0.285,1
0.0,0.6600000000000001,2,1,1,6.5,0.457,0.258,0.285,1
0.09000000000000008,0.44000000000000017,10,0,10,5.5,0.457,0.258,0.285,1
-1.32,-1.3599999999999999,9,15,-6,-14.5,0.457,0.258,0.285,-1
-0.77,-0.2500000000000002,4,13,-9,-3.0,0.457,0.258,0.285,-1
-0.7300000000000002,-1.2699999999999998,9,9,0,-12.0,0.457,0.258,0.285,0
-0.2200000000000002,-0.5599999999999998,11,11,0,-5.5,0.457,0.258,0.285,0
0.08999999999999986,1.35,7,4,3,1.0,0.457,0.258,0.285,1
0.040000000000000036,-0.040000000000000036,11,3,8,3.5,0.457,0.258,0.285,0
1.0999999999999999,1.74,8,1,7,9.0,0.457,0.258,0.285,1
0.6899999999999997,0.7199999999999999,15,11,4,9.0,0.457,0.258,0.285,1
0.44000000000000017,1.0399999999999998,11,13,-2,3.0,0.457,0.258,0.285,0
0.0,-0.3400000000000001,9,10,-1,-2.0,0.457,0.258,0.285,1
0.6500000000000001,0.20999999999999996,13,10,3,6.0,0.457,0.258,0.285,0
-0.18000000000000005,-0.25,1,9,-8,-3.0,0.457,0.258,0.285,0
-0.1299999999999999,-0.02000000000000024,1,5,-4,-2.0,0.457,0.258,0.285,0
-0.040000000000000036,0.43000000000000016,2,4,-2,3.0,0.457,0.258,0.285,1
0.0,-0.8700000000000001,1,5,-4,-0.5,0.457,0.258,0.285,1
0.2599999999999999,-0.28,0,6,-6,-2.5,0.457,0.258,0.285,0
-0.30999999999999994,-1.24,1,10,-9,-9.0,0.457,0.258,0.285,1
0.1200000000000001,-0.08999999999999986,5,4,1,5.0,0.457,0.258,0.285,1
-0.79,-0.4299999999999997,4,11,-7,-0.5,0.457,0.258,0.285,0
-0.9500000000000002,-1.1999999999999997,11,15,-4,-7.0,0.457,0.258,0.285,-1
0.41999999999999993,0.74,8,4,4,0.0,0.457,0.258,0.285,1
0.2499999999999999,1.74,7,2,5,4.5,0.457,0.258,0.285,1
-0.9199999999999999,-0.09000000000000008,9,13,-4,1.5,0.457,0.258,0.285,-1
-0.07999999999999996,0.0,7,2,5,-2.5,0.457,0.258,0.285,-1
-1.0,-1.31,4,9,-5,-6.5,0.457,0.258,0.285,-1
0.16999999999999993,-0.3899999999999999,8,4,4,-6.0,0.457,0.258,0.285,0
0.8300000000000001,1.6300000000000001,7,1,6,14.0,0.457,0.258,0.285,0
1.3199999999999998,1.5,15,8,7,7.5,0.457,0.258,0.285,1
0.56,1.1799999999999997,9,8,1,5.5,0.457,0.258,0.285,0
0.9200000000000002,-0.3400000000000001,9,9,0,1.0,0.457,0.258,0.285,0
0.08000000000000007,-1.4,13,7,6,-7.5,0.457,0.258,0.285,-1
-0.4800000000000001,-0.13000000000000012,2,6,-4,4.5,0.457,0.258,0.285,0
-0.52,-0.6400000000000001,5,8,-3,-1.0,0.457,0.258,0.285,0
0.31999999999999995,0.13000000000000012,4,4,0,5.5,0.457,0.258,0.285,1
-0.24,-0.26,4,8,-4,0.5,0.457,0.258,0.285,1
0.15999999999999992,-1.0500000000000003,2,5,-3,-8.5,0.457,0.258,0.285,-1
-0.1200000000000001,0.41000000000000014,4,4,0,-3.0,0.457,0.258,0.285,0
1.2999999999999998,1.6600000000000001,15,2,13,11.5,0.457,0.258,0.285,1
0.45999999999999996,1.0699999999999998,7,7,0,2.5,0.457,0.258,0.285,0
0.10999999999999988,-0.75,8,8,0,-3.0,0.457,0.258,0.285,0
0.040000000000000036,-1.19,7,10,-3,-4.0,0.457,0.258,0.285,1
1.0,-0.15999999999999992,10,4,6,6.0,0.457,0.258,0.285,0
0.7300000000000001,0.6400000000000001,6,4,2,3.5,0.457,0.258,0.285,1
-1.2400000000000002,-1.4,2,9,-7,-7.0,0.457,0.258,0.285,1
0.06999999999999984,-0.09999999999999987,7,5,2,0.5,0.457,0.258,0.285,1
0.1200000000000001,-0.14000000000000012,2,5,-3,-7.5,0.457,0.258,0.285,-1
0.6499999999999999,1.6099999999999999,10,4,6,13.5,0.457,0.258,0.285,1
0.1100000000000001,1.1600000000000001,8,5,3,3.5,0.457,0.258,0.285,1
-0.8899999999999999,-1.2,1,5,-4,-7.5,0.457,0.258,0.285,-1
-1.0,-1.6500000000000001,1,10,-9,-10.5,0.457,0.258,0.285,-1
-0.26,0.20999999999999996,5,10,-5,-5.5,0.457,0.258,0.285,1
-0.030000000000000027,-0.41999999999999993,4,7,-3,-5.0,0.457,0.258,0.285,-1
0.8500000000000001,0.9899999999999998,8,9,-1,8.5,0.457,0.258,0.285,1
-1.37,-1.3599999999999999,5,15,-10,-9.5,0.457,0.258,0.285,-1
-0.74,1.4,7,8,-1,0.5,0.457,0.258,0.285,1
-0.5599999999999998,-0.78,5,8,-3,2.5,0.457,0.258,0.285,0
0.18999999999999995,0.41000000000000014,8,2,6,6.5,0.457,0.258,0.285,-1
0.3600000000000003,0.35,15,10,5,3.0,0.457,0.258,0.285,-1
0.6799999999999999,1.3399999999999999,7,5,2,1.0,0.457,0.258,0.285,1
-0.1100000000000001,0.28,6,3,3,5.0,0.457,0.258,0.285,-1
0.5999999999999999,0.16000000000000014,7,1,6,7.5,0.457,0.258,0.285,0
0.7200000000000002,-0.8200000000000001,5,8,-3,-2.0,0.457,0.258,0.285,-1
0.5700000000000001,0.53,8,8,0,4.0,0.457,0.258,0.285,1
-0.06999999999999995,-0.08999999999999986,5,1,4,1.5,0.457,0.258,0.285,0
-0.030000000000000027,-0.22999999999999998,9,8,1,-0.5,0.457,0.258,0.285,-1
0.1399999999999999,-0.28,5,5,0,-8.5,0.457,0.258,0.285,0
0.8199999999999998,0.0,10,7,3,4.5,0.457,0.258,0.285,1
0.5,1.23,4,3,1,10.0,0.457,0.258,0.285,1
-0.5,1.2,3,4,-1,0.5,0.457,0.258,0.285,1
0.0,-1.3299999999999998,3,3,0,-1.5,0.457,0.258,0.285,-1
-0.5,0.30000000000000004,3,4,-1,-2.0,0.457,0.258,0.285,1
