date,ppg_season_diff,net_goals_diff,home_pts_last_5,away_pts_last_5,pts_last_5_diff,best_player_diff,p(Home),p(Draw),p(Away),Result
2008-12-06,0.45999999999999996,1.4599999999999997,6,11,-5,6.0,0.457,0.258,0.285,1
2008-12-08,0.19999999999999996,-0.6100000000000001,6,9,-3,-2.0,0.457,0.258,0.285,-1
2008-12-07,-0.19999999999999996,0.69,10,5,5,-2.5,0.457,0.258,0.285,-1
2008-12-06,-0.19999999999999996,-0.1100000000000001,6,8,-2,8.0,0.457,0.258,0.285,0
2008-12-06,-1.4,-1.15,1,8,-7,-4.5,0.457,0.258,0.285,-1
2008-12-06,0.14000000000000012,-1.22,8,4,4,-0.5,0.457,0.258,0.285,0
2008-12-06,-0.8700000000000001,-1.45,12,10,2,-8.0,0.457,0.258,0.285,-1
2008-12-07,-0.74,0.30000000000000004,1,8,-7,-6.0,0.457,0.258,0.285,0
2008-12-06,0.26,0.10999999999999988,3,6,-3,-2.0,0.457,0.258,0.285,1
2008-12-13,0.69,1.29,11,6,5,9.0,0.457,0.258,0.285,0
2008-12-13,0.18999999999999995,0.02000000000000024,3,1,2,4.5,0.457,0.258,0.285,1
2008-12-13,-1.0,-0.5899999999999997,9,10,-1,-7.5,0.457,0.258,0.285,0
2008-12-13,0.5,0.050000000000000044,8,9,-1,0.5,0.457,0.258,0.285,1
2008-12-13,-0.6200000000000001,-1.5899999999999999,5,9,-4,-4.0,0.457,0.258,0.285,0
2008-12-13,-0.2599999999999998,0.71,5,7,-2,5.5,0.457,0.258,0.285,-1
2008-12-14,0.43999999999999995,-0.30000000000000004,9,4,5,-1.5,0.457,0.258,0.285,-1
2008-12-13,-0.06000000000000005,-0.020000000000000018,6,9,-3,-6.0,0.457,0.258,0.285,0
2008-12-13,0.3799999999999999,-0.11999999999999988,8,0,8,-7.0,0.457,0.258,0.285,1
2008-12-14,1.13,1.19,10,5,5,8.5,0.457,0.258,0.285,0
2009-01-14,0.77,1.6199999999999997,11,10,1,14.5,0.457,0.258,0.285,1
2008-12-21,-0.4800000000000002,0.18999999999999995,7,9,-2,-3.0,0.457,0.258,0.285,0
2008-12-20,-0.7,0.20999999999999996,6,11,-5,-1.0,0.457,0.258,0.285,-1
2008-12-22,-0.7100000000000002,-0.71,7,8,-1,-10.0,0.457,0.258,0.285,0
2008-12-21,0.0,-0.7700000000000002,7,7,0,1.0,0.457,0.258,0.285,1
2008-12-20,-0.41999999999999993,-0.25,0,6,-6,7.5,0.457,0.258,0.285,1
2008-12-20,0.06000000000000005,0.52,7,3,4,1.5,0.457,0.258,0.285,1
2008-12-20,-0.17000000000000015,0.20000000000000018,6,6,0,-1.0,0.457,0.258,0.285,1
2008-12-21,-0.3500000000000001,-1.35,1,5,-4,-6.0,0.457,0.258,0.285,1
2008-12-20,0.53,-0.30000000000000027,7,6,1,-2.5,0.457,0.258,0.285,-1
2008-12-26,0.8899999999999999,1.1099999999999999,7,9,-2,6.0,0.457,0.258,0.285,1
2008-12-26,0.2799999999999999,0.16000000000000014,6,3,3,-2.5,0.457,0.258,0.285,0
2008-12-26,-0.27,0.6400000000000001,7,7,0,1.0,0.457,0.258,0.285,0
2008-12-26,0.16999999999999993,-1.2499999999999998,11,8,3,-2.5,0.457,0.258,0.285,0
2008-12-26,-0.32999999999999985,-1.03,2,7,-5,1.5,0.457,0.258,0.285,-1
2008-12-26,-0.5,1.6300000000000001,4,6,-2,6.5,0.457,0.258,0.285,1
2008-12-26,0.21999999999999997,-0.4600000000000002,5,5,0,1.5,0.457,0.258,0.285,-1
2008-12-26,-0.9999999999999998,-1.25,6,11,-5,-14.5,0.457,0.258,0.285,-1
2008-12-26,0.0,-0.2599999999999998,9,9,0,-8.0,0.457,0.258,0.285,1
2008-12-26,1.2799999999999998,1.35,6,4,2,11.5,0.457,0.258,0.285,1
2008-08-23,0.0,1.4,3,3,0,7.0,0.457,0.258,0.285,1
2008-08-23,0.0,0.75,0,0,0,2.5,0.457,0.258,0.285,-1
2008-08-23,-2.0,0.09999999999999987,1,3,-2,0.5,0.457,0.258,0.285,1
2008-08-24,-3.0,1.19,0,3,-3,1.5,0.457,0.258,0.285,1
2008-08-23,0.0,0.14000000000000012,3,3,0,7.5,0.457,0.258,0.285,0
2008-08-23,-3.0,-1.0699999999999998,0,3,-3,-5.5,0.457,0.258,0.285,1
2008-08-23,0.0,-0.6400000000000001,0,0,0,-4.0,0.457,0.258,0.285,-1
2008-08-25,-1.0,-1.6600000000000001,0,1,-1,-8.0,0.457,0.258,0.285,-1
2008-08-23,-3.0,0.15999999999999992,0,3,-3,-6.0,0.457,0.258,0.285,1
2008-08-24,-3.0,-1.6099999999999999,0,3,-3,-13.5,0.457,0.258,0.285,-1
2008-12-29,1.11,1.75,13,2,11,10.0,0.457,0.258,0.285,1
2008-12-28,0.47,1.5,9,4,5,5.0,0.457,0.258,0.285,1
2008-12-28,0.10999999999999988,0.050000000000000044,5,3,2,6.0,0.457,0.258,0.285,1
2008-12-28,0.3700000000000001,0.6199999999999999,10,7,3,-2.0,0.457,0.258,0.285,1
2008-12-28,-1.05,-1.01,8,9,-1,-3.5,0.457,0.258,0.285,-1
2008-12-28,-0.22000000000000008,-1.49,4,4,0,-1.5,0.457,0.258,0.285,0
2008-12-28,-0.8400000000000001,-1.22,7,8,-1,-6.0,0.457,0.258,0.285,0
2008-12-28,-0.1100000000000001,0.15999999999999992,6,9,-3,6.0,0.457,0.258,0.285,-1
2008-12-28,-0.26,-0.7700000000000002,4,5,-1,-9.0,0.457,0.258,0.285,1
2008-12-30,-0.42000000000000015,-0.2300000000000002,5,11,-6,-8.0,0.457,0.258,0.285,-1
2009-01-11,0.10000000000000009,0.009999999999999898,13,9,4,1.0,0.457,0.258,0.285,1
2009-01-10,0.6000000000000001,1.2999999999999998,9,3,6,3.0,0.457,0.258,0.285,1
2009-01-10,0.9999999999999999,-0.04999999999999982,13,7,6,8.5,0.457,0.258,0.285,1
2009-01-10,0.25,0.9200000000000002,10,4,6,3.5,0.457,0.258,0.285,1
2009-01-10,-0.10000000000000009,-0.41000000000000014,1,7,-6,-0.5,0.457,0.258,0.285,0
2009-01-10,-0.1499999999999999,-0.16000000000000014,7,7,0,3.0,0.457,0.258,0.285,0
2009-03-11,0.4,0.27,7,5,2,-1.0,0.457,0.258,0.285,-1
2009-02-14,0.04999999999999982,-1.6500000000000001,1,5,-4,-6.0,0.457,0.258,0.285,1
2009-01-10,-1.25,-0.8999999999999999,2,11,-9,-11.5,0.457,0.258,0.285,0
2009-01-11,0.3999999999999999,-1.03,9,5,4,-7.0,0.457,0.258,0.285,1
2009-01-19,0.52,0.3699999999999999,9,13,-4,8.5,0.457,0.258,0.285,0
2009-01-17,-0.8499999999999999,0.07000000000000006,8,13,-5,-1.0,0.457,0.258,0.285,-1
2009-01-18,-0.29000000000000004,1.0700000000000003,2,3,-1,4.0,0.457,0.258,0.285,0
2009-01-18,0.0,0.030000000000000027,8,6,2,-1.0,0.457,0.258,0.285,1
2009-01-17,-0.42999999999999994,1.6099999999999999,4,12,-8,9.0,0.457,0.258,0.285,1
2009-01-17,-0.10000000000000009,-0.1399999999999999,8,7,1,-0.5,0.457,0.258,0.285,1
2009-01-17,-1.1400000000000001,-1.46,3,13,-10,-9.0,0.457,0.258,0.285,-1
2009-01-17,-0.14,0.3899999999999999,6,2,4,-7.0,0.457,0.258,0.285,1
2009-01-17,-0.52,-1.48,1,9,-8,-9.0,0.457,0.258,0.285,-1
2009-01-17,1.0,1.24,6,2,4,12.0,0.457,0.258,0.285,1
2009-01-27,-0.1299999999999999,-0.10999999999999988,5,5,0,-1.0,0.457,0.258,0.285,1
2009-01-27,0.0,0.6600000000000001,2,1,1,6.5,0.457,0.258,0.285,1
2009-01-28,0.09000000000000008,0.44000000000000017,10,0,10,5.5,0.457,0.258,0.285,1
2009-01-27,-1.32,-1.3599999999999999,9,15,-6,-14.5,0.457,0.258,0.285,-1
2009-01-27,-0.77,-0.2500000000000002,4,13,-9,-3.0,0.457,0.258,0.285,-1
2009-01-28,-0.7300000000000002,-1.2699999999999998,9,9,0,-12.0,0.457,0.258,0.285,0
2009-01-28,-0.2200000000000002,-0.5599999999999998,11,11,0,-5.5,0.457,0.258,0.285,0
2009-01-28,0.08999999999999986,1.35,7,4,3,1.0,0.457,0.258,0.285,1
2009-01-28,0.040000000000000036,-0.040000000000000036,11,3,8,3.5,0.457,0.258,0.285,0
2009-01-28,1.0999999999999999,1.74,8,1,7,9.0,0.457,0.258,0.285,1
2009-01-31,0.6899999999999997,0.7199999999999999,15,11,4,9.0,0.457,0.258,0.285,1
2009-01-31,0.44000000000000017,1.0399999999999998,11,13,-2,3.0,0.457,0.258,0.285,0
2009-02-01,0.0,-0.3400000000000001,9,10,-1,-2.0,0.457,0.258,0.285,1
2009-01-31,0.6500000000000001,0.20999999999999996,13,10,3,6.0,0.457,0.258,0.285,0
2009-01-31,-0.18000000000000005,-0.25,1,9,-8,-3.0,0.457,0.258,0.285,0
2009-02-01,-0.1299999999999999,-0.02000000000000024,1,5,-4,-2.0,0.457,0.258,0.285,0
2009-01-31,-0.040000000000000036,0.43000000000000016,2,4,-2,3.0,0.457,0.258,0.285,1
2009-01-31,0.0,-0.8700000000000001,1,5,-4,-0.5,0.457,0.258,0.285,1
2009-01-31,0.2599999999999999,-0.28,0,6,-6,-2.5,0.457,0.258,0.285,0
2009-01-31,-0.30999999999999994,-1.24,1,10,-9,-9.0,0.457,0.258,0.285,1
2009-02-07,0.1200000000000001,-0.08999999999999986,5,4,1,5.0,0.457,0.258,0.285,1
2009-02-08,-0.79,-0.4299999999999997,4,11,-7,-0.5,0.457,0.258,0.285,0
2009-02-08,-0.9500000000000002,-1.1999999999999997,11,15,-4,-7.0,0.457,0.258,0.285,-1
2009-02-07,0.41999999999999993,0.74,8,4,4,0.0,0.457,0.258,0.285,1
2009-02-07,0.2499999999999999,1.74,7,2,5,4.5,0.457,0.258,0.285,1
2009-02-07,-0.9199999999999999,-0.09000000000000008,9,13,-4,1.5,0.457,0.258,0.285,-1
2009-02-07,-0.07999999999999996,0.0,7,2,5,-2.5,0.457,0.258,0.285,-1
2009-02-07,-1.0,-1.31,4,9,-5,-6.5,0.457,0.258,0.285,-1
2009-02-07,0.16999999999999993,-0.3899999999999999,8,4,4,-6.0,0.457,0.258,0.285,0
2009-02-07,0.8300000000000001,1.6300000000000001,7,1,6,14.0,0.457,0.258,0.285,0
2009-02-21,1.3199999999999998,1.5,15,8,7,7.5,0.457,0.258,0.285,1
2009-02-21,0.56,1.1799999999999997,9,8,1,5.5,0.457,0.258,0.285,0
2009-02-22,0.9200000000000002,-0.3400000000000001,9,9,0,1.0,0.457,0.258,0.285,0
2009-02-21,0.08000000000000007,-1.4,13,7,6,-7.5,0.457,0.258,0.285,-1
2009-02-21,-0.4800000000000001,-0.13000000000000012,2,6,-4,4.5,0.457,0.258,0.285,0
2009-02-22,-0.52,-0.6400000000000001,5,8,-3,-1.0,0.457,0.258,0.285,0
2009-02-22,0.31999999999999995,0.13000000000000012,4,4,0,5.5,0.457,0.258,0.285,1
2009-02-21,-0.24,-0.26,4,8,-4,0.5,0.457,0.258,0.285,1
2009-02-23,0.15999999999999992,-1.0500000000000003,2,5,-3,-8.5,0.457,0.258,0.285,-1
2009-02-21,-0.1200000000000001,0.41000000000000014,4,4,0,-3.0,0.457,0.258,0.285,0
2009-04-22,1.2999999999999998,1.6600000000000001,15,2,13,11.5,0.457,0.258,0.285,1
2009-02-28,0.45999999999999996,1.0699999999999998,7,7,0,2.5,0.457,0.258,0.285,0
2009-03-07,0.10999999999999988,-0.75,8,8,0,-3.0,0.457,0.258,0.285,0
2009-03-01,0.040000000000000036,-1.19,7,10,-3,-4.0,0.457,0.258,0.285,1
2009-03-01,1.0,-0.15999999999999992,10,4,6,6.0,0.457,0.258,0.285,0
2009-02-28,0.7300000000000001,0.6400000000000001,6,4,2,3.5,0.457,0.258,0.285,1
2009-02-28,-1.2400000000000002,-1.4,2,9,-7,-7.0,0.457,0.258,0.285,1
2009-03-01,0.06999999999999984,-0.09999999999999987,7,5,2,0.5,0.457,0.258,0.285,1
2009-03-01,0.1200000000000001,-0.14000000000000012,2,5,-3,-7.5,0.457,0.258,0.285,-1
2009-02-28,0.6499999999999999,1.6099999999999999,10,4,6,13.5,0.457,0.258,0.285,1
2009-03-04,0.1100000000000001,1.1600000000000001,8,5,3,3.5,0.457,0.258,0.285,1
2009-03-03,-0.8899999999999999,-1.2,1,5,-4,-7.5,0.457,0.258,0.285,-1
2009-03-03,-1.0,-1.6500000000000001,1,10,-9,-10.5,0.457,0.258,0.285,-1
2009-03-04,-0.26,0.20999999999999996,5,10,-5,-5.5,0.457,0.258,0.285,1
2009-03-04,-0.030000000000000027,-0.41999999999999993,4,7,-3,-5.0,0.457,0.258,0.285,-1
2009-03-03,0.8500000000000001,0.9899999999999998,8,9,-1,8.5,0.457,0.258,0.285,1
2009-03-04,-1.37,-1.3599999999999999,5,15,-10,-9.5,0.457,0.258,0.285,-1
2009-03-04,-0.74,1.4,7,8,-1,0.5,0.457,0.258,0.285,1
2009-03-04,-0.5599999999999998,-0.78,5,8,-3,2.5,0.457,0.258,0.285,0
2009-03-04,0.18999999999999995,0.41000000000000014,8,2,6,6.5,0.457,0.258,0.285,-1
2009-03-14,0.3600000000000003,0.35,15,10,5,3.0,0.457,0.258,0.285,-1
2009-03-14,0.6799999999999999,1.3399999999999999,7,5,2,1.0,0.457,0.258,0.285,1
2009-03-14,-0.1100000000000001,0.28,6,3,3,5.0,0.457,0.258,0.285,-1
2009-03-16,0.5999999999999999,0.16000000000000014,7,1,6,7.5,0.457,0.258,0.285,0
2009-03-15,0.7200000000000002,-0.8200000000000001,5,8,-3,-2.0,0.457,0.258,0.285,-1
2009-03-14,0.5700000000000001,0.53,8,8,0,4.0,0.457,0.258,0.285,1
2009-03-14,-0.06999999999999995,-0.08999999999999986,5,1,4,1.5,0.457,0.258,0.285,0
2009-03-14,-0.030000000000000027,-0.22999999999999998,9,8,1,-0.5,0.457,0.258,0.285,-1
2009-03-14,0.1399999999999999,-0.28,5,5,0,-8.5,0.457,0.258,0.285,0
2009-03-15,0.8199999999999998,0.0,10,7,3,4.5,0.457,0.258,0.285,1
2009-02-18,0.5,1.23,4,3,1,10.0,0.457,0.258,0.285,1
2008-08-30,-0.5,1.2,3,4,-1,0.5,0.457,0.258,0.285,1
2008-08-31,0.0,-1.3299999999999998,3,3,0,-1.5,0.457,0.258,0.285,-1
2008-08-30,-0.5,0.30000000000000004,3,4,-1,-2.0,0.457,0.258,0.285,1
2008-08-31,-1.5,-1.0599999999999998,3,6,-3,-4.0,0.457,0.258,0.285,0
2008-08-30,1.5,0.9400000000000002,3,0,3,-2.0,0.457,0.258,0.285,-1
2008-08-30,0.0,-0.5,3,3,0,4.5,0.457,0.258,0.285,1
2008-08-30,1.5,-0.09999999999999987,3,0,3,2.5,0.457,0.258,0.285,0
2008-08-30,2.0,-0.02000000000000024,4,0,4,-0.5,0.457,0.258,0.285,-1
2008-08-31,3.0,0.5799999999999998,6,0,6,6.5,0.457,0.258,0.285,0
2009-03-22,0.31000000000000005,1.0599999999999998,10,4,6,5.5,0.457,0.258,0.285,1
2009-03-21,-0.8900000000000001,-0.5799999999999998,11,13,-2,-5.5,0.457,0.258,0.285,1
2009-03-21,-0.79,-1.2,5,9,-4,-3.5,0.457,0.258,0.285,-1
2009-03-22,0.10999999999999988,1.3299999999999998,7,5,2,6.0,0.457,0.258,0.285,1
2009-03-21,-0.34999999999999987,-0.30000000000000004,4,7,-3,2.5,0.457,0.258,0.285,0
2009-03-21,-1.0599999999999998,-1.23,8,12,-4,-6.0,0.457,0.258,0.285,1
2009-03-21,-0.34999999999999987,0.09999999999999987,1,6,-5,-8.0,0.457,0.258,0.285,0
2009-03-21,-0.6599999999999999,-0.9400000000000002,2,11,-9,-2.5,0.457,0.258,0.285,1
2009-03-21,0.06999999999999995,0.5,5,5,0,-4.5,0.457,0.258,0.285,1
2009-03-22,0.17000000000000015,0.02000000000000024,5,5,0,0.5,0.457,0.258,0.285,1
2009-04-05,0.54,1.4099999999999997,9,1,8,6.0,0.457,0.258,0.285,1
2009-04-04,0.56,-0.15000000000000013,11,7,4,-0.5,0.457,0.258,0.285,1
2009-04-04,0.30000000000000004,0.1399999999999999,8,2,6,0.0,0.457,0.258,0.285,1
2009-04-05,0.22999999999999998,0.8999999999999999,8,7,1,4.0,0.457,0.258,0.285,1
2009-04-04,-1.0599999999999998,-1.35,2,12,-10,-5.5,0.457,0.258,0.285,-1
2009-04-04,-0.24,-0.9100000000000001,5,13,-8,-0.5,0.457,0.258,0.285,1
2009-04-04,-0.7999999999999998,-0.8799999999999999,10,10,0,-5.5,0.457,0.258,0.285,-1
2009-04-04,0.22999999999999987,0.29000000000000004,7,5,2,1.0,0.457,0.258,0.285,1
2009-04-04,-0.27,-0.1100000000000001,2,8,-6,-2.5,0.457,0.258,0.285,-1
2009-04-04,0.030000000000000027,0.020000000000000018,4,5,-1,-3.5,0.457,0.258,0.285,0
2009-04-11,1.06,1.15,12,8,4,3.5,0.457,0.258,0.285,1
2009-04-11,-1.26,-1.3399999999999999,1,9,-8,-9.5,0.457,0.258,0.285,-1
2009-04-11,-0.18999999999999995,0.6100000000000001,10,11,-1,3.0,0.457,0.258,0.285,1
2009-04-12,0.030000000000000027,-0.69,1,10,-9,2.0,0.457,0.258,0.285,0
2009-04-11,-0.2300000000000001,-0.10999999999999988,4,5,-1,5.0,0.457,0.258,0.285,1
2009-04-12,-0.06000000000000005,1.22,6,7,-1,0.0,0.457,0.258,0.285,-1
2009-04-11,0.29000000000000004,-0.30000000000000004,5,2,3,2.5,0.457,0.258,0.285,0
2009-04-11,0.18999999999999995,0.1100000000000001,10,1,9,-8.0,0.457,0.258,0.285,0
2009-04-11,-0.55,-1.4599999999999997,6,13,-7,-8.5,0.457,0.258,0.285,-1
2009-04-11,0.8700000000000001,1.45,12,7,5,8.0,0.457,0.258,0.285,1
2009-04-21,0.28,-0.18999999999999995,15,15,0,1.5,0.457,0.258,0.285,0
2009-04-18,-0.06000000000000005,0.30000000000000027,0,5,-5,2.5,0.457,0.258,0.285,1
2009-04-19,0.3400000000000001,0.7700000000000002,12,2,10,0.0,0.457,0.258,0.285,1
2009-04-18,0.28,-0.20999999999999996,1,8,-7,1.0,0.457,0.258,0.285,0
2009-04-18,-0.40000000000000013,-0.52,4,9,-5,-1.5,0.457,0.258,0.285,0
2009-04-19,0.4099999999999999,1.35,6,3,3,8.5,0.457,0.258,0.285,1
2009-04-18,-0.09999999999999987,-0.20000000000000018,6,4,2,-2.5,0.457,0.258,0.285,1
2009-04-18,0.06000000000000005,0.25,10,5,5,-7.5,0.457,0.258,0.285,1
2009-05-13,-1.03,-1.6199999999999997,6,9,-3,-15.0,0.457,0.258,0.285,-1
2009-04-22,0.46999999999999975,0.71,12,8,4,9.5,0.457,0.258,0.285,0
2009-04-25,1.0,0.5899999999999997,9,12,-3,6.5,0.457,0.258,0.285,1
2009-04-26,0.94,1.5899999999999999,13,5,8,4.0,0.457,0.258,0.285,1
2009-04-25,-0.7,-1.19,6,10,-4,-8.5,0.457,0.258,0.285,-1
2009-04-25,0.3700000000000001,-0.71,8,6,2,-3.5,0.457,0.258,0.285,-1
2009-04-27,-0.21000000000000008,0.30000000000000004,2,9,-7,5.0,0.457,0.258,0.285,0
2009-04-26,-0.20999999999999996,0.11999999999999988,4,6,-2,7.5,0.457,0.258,0.285,1
2009-04-25,0.15000000000000013,0.020000000000000018,10,10,0,6.5,0.457,0.258,0.285,1
2009-04-25,-0.5199999999999998,-0.050000000000000044,4,2,2,-0.5,0.457,0.258,0.285,0
2009-04-25,-0.30000000000000004,-0.02000000000000024,3,3,0,-4.5,0.457,0.258,0.285,1
2009-04-25,-1.1199999999999999,-1.29,2,13,-11,-7.5,0.457,0.258,0.285,-1
2009-05-03,1.27,1.01,13,2,11,6.5,0.457,0.258,0.285,1
2009-05-03,-0.53,-0.6199999999999999,3,5,-2,1.0,0.457,0.258,0.285,-1
2009-05-02,0.4700000000000001,0.7700000000000002,9,5,4,10.5,0.457,0.258,0.285,1
2009-05-04,0.6200000000000001,0.2300000000000002,3,1,2,3.5,0.457,0.258,0.285,1
2009-05-02,-1.44,-1.75,4,12,-8,-10.0,0.457,0.258,0.285,-1
2009-05-02,0.19999999999999996,1.49,9,7,2,1.5,0.457,0.258,0.285,1
2009-05-02,-0.7899999999999998,-1.5,9,13,-4,-3.0,0.457,0.258,0.285,-1
2009-05-02,-0.17000000000000015,-0.050000000000000044,10,5,5,-5.0,0.457,0.258,0.285,-1
2009-05-02,0.08999999999999986,-0.15999999999999992,3,5,-2,-5.5,0.457,0.258,0.285,0
2009-05-02,0.71,1.22,10,10,0,12.0,0.457,0.258,0.285,1
